loss,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.15190506,1737127462,checkpoint_000000,True,False,1,1f371_00047,2025-01-17_16-24-22,2.043588638305664,2.043588638305664,165121,DESKTOP-KFJMPPQ,192.168.0.114,2.043588638305664,1
0.15163687,1737127463,checkpoint_000001,True,False,2,1f371_00047,2025-01-17_16-24-23,1.2580888271331787,3.3016774654388428,165121,DESKTOP-KFJMPPQ,192.168.0.114,3.3016774654388428,2
0.15107518,1737127465,checkpoint_000002,True,False,3,1f371_00047,2025-01-17_16-24-25,1.2380661964416504,4.539743661880493,165121,DESKTOP-KFJMPPQ,192.168.0.114,4.539743661880493,3
0.15040345,1737127466,checkpoint_000003,True,False,4,1f371_00047,2025-01-17_16-24-26,1.2638139724731445,5.803557634353638,165121,DESKTOP-KFJMPPQ,192.168.0.114,5.803557634353638,4
0.14964461,1737127467,checkpoint_000004,True,False,5,1f371_00047,2025-01-17_16-24-27,1.2123429775238037,7.015900611877441,165121,DESKTOP-KFJMPPQ,192.168.0.114,7.015900611877441,5
0.14880615,1737127468,checkpoint_000005,True,False,6,1f371_00047,2025-01-17_16-24-28,1.2402148246765137,8.256115436553955,165121,DESKTOP-KFJMPPQ,192.168.0.114,8.256115436553955,6
0.14789952,1737127470,checkpoint_000006,True,False,7,1f371_00047,2025-01-17_16-24-30,1.2544043064117432,9.510519742965698,165121,DESKTOP-KFJMPPQ,192.168.0.114,9.510519742965698,7
0.14693448,1737127471,checkpoint_000007,True,False,8,1f371_00047,2025-01-17_16-24-31,1.267606496810913,10.778126239776611,165121,DESKTOP-KFJMPPQ,192.168.0.114,10.778126239776611,8
0.14591375,1737127472,checkpoint_000008,True,False,9,1f371_00047,2025-01-17_16-24-32,1.2267334461212158,12.004859685897827,165121,DESKTOP-KFJMPPQ,192.168.0.114,12.004859685897827,9
0.14484398,1737127473,checkpoint_000009,True,False,10,1f371_00047,2025-01-17_16-24-33,1.2270128726959229,13.23187255859375,165121,DESKTOP-KFJMPPQ,192.168.0.114,13.23187255859375,10
0.14373003,1737127474,checkpoint_000010,True,False,11,1f371_00047,2025-01-17_16-24-34,1.1975317001342773,14.429404258728027,165121,DESKTOP-KFJMPPQ,192.168.0.114,14.429404258728027,11
0.14257671,1737127476,checkpoint_000011,True,False,12,1f371_00047,2025-01-17_16-24-36,1.2490992546081543,15.678503513336182,165121,DESKTOP-KFJMPPQ,192.168.0.114,15.678503513336182,12
0.14138882,1737127477,checkpoint_000012,True,False,13,1f371_00047,2025-01-17_16-24-37,1.1767425537109375,16.85524606704712,165121,DESKTOP-KFJMPPQ,192.168.0.114,16.85524606704712,13
0.14016826,1737127478,checkpoint_000013,True,False,14,1f371_00047,2025-01-17_16-24-38,1.3224749565124512,18.17772102355957,165121,DESKTOP-KFJMPPQ,192.168.0.114,18.17772102355957,14
0.13892238,1737127479,checkpoint_000014,True,False,15,1f371_00047,2025-01-17_16-24-39,1.219555377960205,19.397276401519775,165121,DESKTOP-KFJMPPQ,192.168.0.114,19.397276401519775,15
0.13765684,1737127481,checkpoint_000015,True,False,16,1f371_00047,2025-01-17_16-24-41,1.2168986797332764,20.61417508125305,165121,DESKTOP-KFJMPPQ,192.168.0.114,20.61417508125305,16
0.13636717,1737127482,checkpoint_000016,True,False,17,1f371_00047,2025-01-17_16-24-42,1.2239069938659668,21.83808207511902,165121,DESKTOP-KFJMPPQ,192.168.0.114,21.83808207511902,17
0.13506337,1737127483,checkpoint_000017,True,False,18,1f371_00047,2025-01-17_16-24-43,1.2493987083435059,23.087480783462524,165121,DESKTOP-KFJMPPQ,192.168.0.114,23.087480783462524,18
0.13374563,1737127484,checkpoint_000018,True,False,19,1f371_00047,2025-01-17_16-24-44,1.173008918762207,24.26048970222473,165121,DESKTOP-KFJMPPQ,192.168.0.114,24.26048970222473,19
0.13241902,1737127486,checkpoint_000019,True,False,20,1f371_00047,2025-01-17_16-24-46,1.230835199356079,25.49132490158081,165121,DESKTOP-KFJMPPQ,192.168.0.114,25.49132490158081,20
0.13108215,1737127487,checkpoint_000020,True,False,21,1f371_00047,2025-01-17_16-24-47,1.3103148937225342,26.801639795303345,165121,DESKTOP-KFJMPPQ,192.168.0.114,26.801639795303345,21
0.12974243,1737127488,checkpoint_000021,True,False,22,1f371_00047,2025-01-17_16-24-48,1.23604154586792,28.037681341171265,165121,DESKTOP-KFJMPPQ,192.168.0.114,28.037681341171265,22
0.12840366,1737127489,checkpoint_000022,True,False,23,1f371_00047,2025-01-17_16-24-49,1.1848680973052979,29.222549438476562,165121,DESKTOP-KFJMPPQ,192.168.0.114,29.222549438476562,23
0.12706569,1737127490,checkpoint_000023,True,False,24,1f371_00047,2025-01-17_16-24-50,1.2262041568756104,30.448753595352173,165121,DESKTOP-KFJMPPQ,192.168.0.114,30.448753595352173,24
0.12572674,1737127492,checkpoint_000024,True,False,25,1f371_00047,2025-01-17_16-24-52,1.1795151233673096,31.628268718719482,165121,DESKTOP-KFJMPPQ,192.168.0.114,31.628268718719482,25
0.12439364,1737127493,checkpoint_000025,True,False,26,1f371_00047,2025-01-17_16-24-53,1.239926815032959,32.86819553375244,165121,DESKTOP-KFJMPPQ,192.168.0.114,32.86819553375244,26
0.12306678,1737127494,checkpoint_000026,True,False,27,1f371_00047,2025-01-17_16-24-54,1.2486062049865723,34.116801738739014,165121,DESKTOP-KFJMPPQ,192.168.0.114,34.116801738739014,27
0.121745005,1737127495,checkpoint_000027,True,False,28,1f371_00047,2025-01-17_16-24-55,1.2337102890014648,35.35051202774048,165121,DESKTOP-KFJMPPQ,192.168.0.114,35.35051202774048,28
0.12044159,1737127497,checkpoint_000028,True,False,29,1f371_00047,2025-01-17_16-24-57,1.221977949142456,36.572489976882935,165121,DESKTOP-KFJMPPQ,192.168.0.114,36.572489976882935,29
0.11914668,1737127498,checkpoint_000029,True,False,30,1f371_00047,2025-01-17_16-24-58,1.2104814052581787,37.78297138214111,165121,DESKTOP-KFJMPPQ,192.168.0.114,37.78297138214111,30
0.11786624,1737127499,checkpoint_000030,True,False,31,1f371_00047,2025-01-17_16-24-59,1.2145869731903076,38.99755835533142,165121,DESKTOP-KFJMPPQ,192.168.0.114,38.99755835533142,31
0.11659887,1737127500,checkpoint_000031,True,False,32,1f371_00047,2025-01-17_16-25-00,1.2385892868041992,40.23614764213562,165121,DESKTOP-KFJMPPQ,192.168.0.114,40.23614764213562,32
0.11535536,1737127501,checkpoint_000032,True,False,33,1f371_00047,2025-01-17_16-25-01,1.190295696258545,41.426443338394165,165121,DESKTOP-KFJMPPQ,192.168.0.114,41.426443338394165,33
0.11412837,1737127503,checkpoint_000033,True,False,34,1f371_00047,2025-01-17_16-25-03,1.3113503456115723,42.73779368400574,165121,DESKTOP-KFJMPPQ,192.168.0.114,42.73779368400574,34
0.11292416,1737127504,checkpoint_000034,True,False,35,1f371_00047,2025-01-17_16-25-04,1.2536625862121582,43.991456270217896,165121,DESKTOP-KFJMPPQ,192.168.0.114,43.991456270217896,35
0.11174492,1737127505,checkpoint_000035,True,False,36,1f371_00047,2025-01-17_16-25-05,1.2303400039672852,45.22179627418518,165121,DESKTOP-KFJMPPQ,192.168.0.114,45.22179627418518,36
0.11058259,1737127506,checkpoint_000036,True,False,37,1f371_00047,2025-01-17_16-25-06,1.1940643787384033,46.415860652923584,165121,DESKTOP-KFJMPPQ,192.168.0.114,46.415860652923584,37
0.10944654,1737127508,checkpoint_000037,True,False,38,1f371_00047,2025-01-17_16-25-08,1.23358154296875,47.649442195892334,165121,DESKTOP-KFJMPPQ,192.168.0.114,47.649442195892334,38
0.10833367,1737127509,checkpoint_000038,True,False,39,1f371_00047,2025-01-17_16-25-09,1.222163200378418,48.87160539627075,165121,DESKTOP-KFJMPPQ,192.168.0.114,48.87160539627075,39
0.107249476,1737127510,checkpoint_000039,True,False,40,1f371_00047,2025-01-17_16-25-10,1.2392666339874268,50.11087203025818,165121,DESKTOP-KFJMPPQ,192.168.0.114,50.11087203025818,40
0.10619209,1737127512,checkpoint_000040,True,False,41,1f371_00047,2025-01-17_16-25-12,1.3711092472076416,51.48198127746582,165121,DESKTOP-KFJMPPQ,192.168.0.114,51.48198127746582,41
0.10516046,1737127513,checkpoint_000041,True,False,42,1f371_00047,2025-01-17_16-25-13,1.2445719242095947,52.726553201675415,165121,DESKTOP-KFJMPPQ,192.168.0.114,52.726553201675415,42
0.10415554,1737127514,checkpoint_000042,True,False,43,1f371_00047,2025-01-17_16-25-14,1.1740202903747559,53.90057349205017,165121,DESKTOP-KFJMPPQ,192.168.0.114,53.90057349205017,43
0.10318005,1737127515,checkpoint_000043,True,False,44,1f371_00047,2025-01-17_16-25-15,1.2124555110931396,55.11302900314331,165121,DESKTOP-KFJMPPQ,192.168.0.114,55.11302900314331,44
0.102227926,1737127516,checkpoint_000044,True,False,45,1f371_00047,2025-01-17_16-25-16,1.1714997291564941,56.284528732299805,165121,DESKTOP-KFJMPPQ,192.168.0.114,56.284528732299805,45
0.10130771,1737127518,checkpoint_000045,True,False,46,1f371_00047,2025-01-17_16-25-18,1.2361969947814941,57.5207257270813,165121,DESKTOP-KFJMPPQ,192.168.0.114,57.5207257270813,46
0.10041646,1737127519,checkpoint_000046,True,False,47,1f371_00047,2025-01-17_16-25-19,1.2556495666503906,58.77637529373169,165121,DESKTOP-KFJMPPQ,192.168.0.114,58.77637529373169,47
0.0995558,1737127520,checkpoint_000047,True,False,48,1f371_00047,2025-01-17_16-25-20,1.2625689506530762,60.038944244384766,165121,DESKTOP-KFJMPPQ,192.168.0.114,60.038944244384766,48
0.09872373,1737127521,checkpoint_000048,True,False,49,1f371_00047,2025-01-17_16-25-21,1.2913591861724854,61.33030343055725,165121,DESKTOP-KFJMPPQ,192.168.0.114,61.33030343055725,49
0.0979213,1737127523,checkpoint_000049,True,False,50,1f371_00047,2025-01-17_16-25-23,1.2285656929016113,62.55886912345886,165121,DESKTOP-KFJMPPQ,192.168.0.114,62.55886912345886,50
0.097146206,1737127524,checkpoint_000050,True,False,51,1f371_00047,2025-01-17_16-25-24,1.1808247566223145,63.73969388008118,165121,DESKTOP-KFJMPPQ,192.168.0.114,63.73969388008118,51
0.09640084,1737127525,checkpoint_000051,True,False,52,1f371_00047,2025-01-17_16-25-25,1.2324895858764648,64.97218346595764,165121,DESKTOP-KFJMPPQ,192.168.0.114,64.97218346595764,52
0.09568485,1737127526,checkpoint_000052,True,False,53,1f371_00047,2025-01-17_16-25-26,1.1891870498657227,66.16137051582336,165121,DESKTOP-KFJMPPQ,192.168.0.114,66.16137051582336,53
0.094995365,1737127528,checkpoint_000053,True,False,54,1f371_00047,2025-01-17_16-25-28,1.3104159832000732,67.47178649902344,165121,DESKTOP-KFJMPPQ,192.168.0.114,67.47178649902344,54
0.09433375,1737127529,checkpoint_000054,True,False,55,1f371_00047,2025-01-17_16-25-29,1.245622158050537,68.71740865707397,165121,DESKTOP-KFJMPPQ,192.168.0.114,68.71740865707397,55
0.093699634,1737127530,checkpoint_000055,True,False,56,1f371_00047,2025-01-17_16-25-30,1.2315318584442139,69.94894051551819,165121,DESKTOP-KFJMPPQ,192.168.0.114,69.94894051551819,56
0.09309341,1737127531,checkpoint_000056,True,False,57,1f371_00047,2025-01-17_16-25-31,1.2021417617797852,71.15108227729797,165121,DESKTOP-KFJMPPQ,192.168.0.114,71.15108227729797,57
0.092511095,1737127533,checkpoint_000057,True,False,58,1f371_00047,2025-01-17_16-25-33,1.2466416358947754,72.39772391319275,165121,DESKTOP-KFJMPPQ,192.168.0.114,72.39772391319275,58
0.09195916,1737127534,checkpoint_000058,True,False,59,1f371_00047,2025-01-17_16-25-34,1.1816465854644775,73.57937049865723,165121,DESKTOP-KFJMPPQ,192.168.0.114,73.57937049865723,59
0.09142856,1737127535,checkpoint_000059,True,False,60,1f371_00047,2025-01-17_16-25-35,1.2490744590759277,74.82844495773315,165121,DESKTOP-KFJMPPQ,192.168.0.114,74.82844495773315,60
0.09092533,1737127536,checkpoint_000060,True,False,61,1f371_00047,2025-01-17_16-25-36,1.320127010345459,76.14857196807861,165121,DESKTOP-KFJMPPQ,192.168.0.114,76.14857196807861,61
0.09044625,1737127538,checkpoint_000061,True,False,62,1f371_00047,2025-01-17_16-25-38,1.218815565109253,77.36738753318787,165121,DESKTOP-KFJMPPQ,192.168.0.114,77.36738753318787,62
