loss,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1228.8303,1737122215,checkpoint_000000,True,False,1,1f371_00027,2025-01-17_14-56-55,2.0211150646209717,2.0211150646209717,123388,DESKTOP-KFJMPPQ,192.168.0.114,2.0211150646209717,1
26.373468,1737122216,checkpoint_000001,True,False,2,1f371_00027,2025-01-17_14-56-56,1.225682258605957,3.2467973232269287,123388,DESKTOP-KFJMPPQ,192.168.0.114,3.2467973232269287,2
0.9186114,1737122217,checkpoint_000002,True,False,3,1f371_00027,2025-01-17_14-56-57,1.1881742477416992,4.434971570968628,123388,DESKTOP-KFJMPPQ,192.168.0.114,4.434971570968628,3
0.1585802,1737122218,checkpoint_000003,True,False,4,1f371_00027,2025-01-17_14-56-58,1.2189395427703857,5.653911113739014,123388,DESKTOP-KFJMPPQ,192.168.0.114,5.653911113739014,4
0.14677906,1737122219,checkpoint_000004,True,False,5,1f371_00027,2025-01-17_14-56-59,1.13266921043396,6.786580324172974,123388,DESKTOP-KFJMPPQ,192.168.0.114,6.786580324172974,5
0.14590256,1737122221,checkpoint_000005,True,False,6,1f371_00027,2025-01-17_14-57-01,1.1908600330352783,7.977440357208252,123388,DESKTOP-KFJMPPQ,192.168.0.114,7.977440357208252,6
0.14564368,1737122222,checkpoint_000006,True,False,7,1f371_00027,2025-01-17_14-57-02,1.197537899017334,9.174978256225586,123388,DESKTOP-KFJMPPQ,192.168.0.114,9.174978256225586,7
0.14537877,1737122223,checkpoint_000007,True,False,8,1f371_00027,2025-01-17_14-57-03,1.2130200862884521,10.387998342514038,123388,DESKTOP-KFJMPPQ,192.168.0.114,10.387998342514038,8
0.14508833,1737122224,checkpoint_000008,True,False,9,1f371_00027,2025-01-17_14-57-04,1.1913025379180908,11.579300880432129,123388,DESKTOP-KFJMPPQ,192.168.0.114,11.579300880432129,9
0.14474857,1737122225,checkpoint_000009,True,False,10,1f371_00027,2025-01-17_14-57-05,1.2145061492919922,12.793807029724121,123388,DESKTOP-KFJMPPQ,192.168.0.114,12.793807029724121,10
0.14440587,1737122227,checkpoint_000010,True,False,11,1f371_00027,2025-01-17_14-57-07,1.137209415435791,13.931016445159912,123388,DESKTOP-KFJMPPQ,192.168.0.114,13.931016445159912,11
0.14410514,1737122228,checkpoint_000011,True,False,12,1f371_00027,2025-01-17_14-57-08,1.2066855430603027,15.137701988220215,123388,DESKTOP-KFJMPPQ,192.168.0.114,15.137701988220215,12
0.14373073,1737122229,checkpoint_000012,True,False,13,1f371_00027,2025-01-17_14-57-09,1.166771650314331,16.304473638534546,123388,DESKTOP-KFJMPPQ,192.168.0.114,16.304473638534546,13
0.14336297,1737122230,checkpoint_000013,True,False,14,1f371_00027,2025-01-17_14-57-10,1.2672951221466064,17.571768760681152,123388,DESKTOP-KFJMPPQ,192.168.0.114,17.571768760681152,14
0.14300139,1737122231,checkpoint_000014,True,False,15,1f371_00027,2025-01-17_14-57-11,1.1942112445831299,18.765980005264282,123388,DESKTOP-KFJMPPQ,192.168.0.114,18.765980005264282,15
0.14260957,1737122233,checkpoint_000015,True,False,16,1f371_00027,2025-01-17_14-57-13,1.193147897720337,19.95912790298462,123388,DESKTOP-KFJMPPQ,192.168.0.114,19.95912790298462,16
0.14220266,1737122234,checkpoint_000016,True,False,17,1f371_00027,2025-01-17_14-57-14,1.1312706470489502,21.09039855003357,123388,DESKTOP-KFJMPPQ,192.168.0.114,21.09039855003357,17
0.14179559,1737122235,checkpoint_000017,True,False,18,1f371_00027,2025-01-17_14-57-15,1.1830089092254639,22.273407459259033,123388,DESKTOP-KFJMPPQ,192.168.0.114,22.273407459259033,18
0.14136757,1737122236,checkpoint_000018,True,False,19,1f371_00027,2025-01-17_14-57-16,1.134141206741333,23.407548666000366,123388,DESKTOP-KFJMPPQ,192.168.0.114,23.407548666000366,19
0.14090815,1737122237,checkpoint_000019,True,False,20,1f371_00027,2025-01-17_14-57-17,1.2023065090179443,24.60985517501831,123388,DESKTOP-KFJMPPQ,192.168.0.114,24.60985517501831,20
0.14053902,1737122239,checkpoint_000020,True,False,21,1f371_00027,2025-01-17_14-57-19,1.2670338153839111,25.87688899040222,123388,DESKTOP-KFJMPPQ,192.168.0.114,25.87688899040222,21
0.14007014,1737122240,checkpoint_000021,True,False,22,1f371_00027,2025-01-17_14-57-20,1.2111074924468994,27.08799648284912,123388,DESKTOP-KFJMPPQ,192.168.0.114,27.08799648284912,22
0.13960572,1737122241,checkpoint_000022,True,False,23,1f371_00027,2025-01-17_14-57-21,1.1459343433380127,28.233930826187134,123388,DESKTOP-KFJMPPQ,192.168.0.114,28.233930826187134,23
0.13915725,1737122242,checkpoint_000023,True,False,24,1f371_00027,2025-01-17_14-57-22,1.2031877040863037,29.437118530273438,123388,DESKTOP-KFJMPPQ,192.168.0.114,29.437118530273438,24
0.13873655,1737122243,checkpoint_000024,True,False,25,1f371_00027,2025-01-17_14-57-23,1.1377313137054443,30.574849843978882,123388,DESKTOP-KFJMPPQ,192.168.0.114,30.574849843978882,25
0.13821706,1737122244,checkpoint_000025,True,False,26,1f371_00027,2025-01-17_14-57-24,1.1924841403961182,31.767333984375,123388,DESKTOP-KFJMPPQ,192.168.0.114,31.767333984375,26
0.13780878,1737122246,checkpoint_000026,True,False,27,1f371_00027,2025-01-17_14-57-26,1.193451166152954,32.960785150527954,123388,DESKTOP-KFJMPPQ,192.168.0.114,32.960785150527954,27
