loss,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
4.6130185,1737121725,checkpoint_000000,True,False,1,1f371_00023,2025-01-17_14-48-45,2.022631883621216,2.022631883621216,119860,DESKTOP-KFJMPPQ,192.168.0.114,2.022631883621216,1
0.17263408,1737121726,checkpoint_000001,True,False,2,1f371_00023,2025-01-17_14-48-46,1.2264759540557861,3.249107837677002,119860,DESKTOP-KFJMPPQ,192.168.0.114,3.249107837677002,2
0.17254591,1737121727,checkpoint_000002,True,False,3,1f371_00023,2025-01-17_14-48-47,1.2149205207824707,4.464028358459473,119860,DESKTOP-KFJMPPQ,192.168.0.114,4.464028358459473,3
0.1724424,1737121728,checkpoint_000003,True,False,4,1f371_00023,2025-01-17_14-48-48,1.1978037357330322,5.661832094192505,119860,DESKTOP-KFJMPPQ,192.168.0.114,5.661832094192505,4
0.17232388,1737121729,checkpoint_000004,True,False,5,1f371_00023,2025-01-17_14-48-49,1.1426947116851807,6.8045268058776855,119860,DESKTOP-KFJMPPQ,192.168.0.114,6.8045268058776855,5
0.17219241,1737121731,checkpoint_000005,True,False,6,1f371_00023,2025-01-17_14-48-51,1.2091901302337646,8.01371693611145,119860,DESKTOP-KFJMPPQ,192.168.0.114,8.01371693611145,6
0.17204852,1737121732,checkpoint_000006,True,False,7,1f371_00023,2025-01-17_14-48-52,1.1521289348602295,9.16584587097168,119860,DESKTOP-KFJMPPQ,192.168.0.114,9.16584587097168,7
0.17189257,1737121733,checkpoint_000007,True,False,8,1f371_00023,2025-01-17_14-48-53,1.259270191192627,10.425116062164307,119860,DESKTOP-KFJMPPQ,192.168.0.114,10.425116062164307,8
0.17172587,1737121734,checkpoint_000008,True,False,9,1f371_00023,2025-01-17_14-48-54,1.1986339092254639,11.62374997138977,119860,DESKTOP-KFJMPPQ,192.168.0.114,11.62374997138977,9
0.17154787,1737121735,checkpoint_000009,True,False,10,1f371_00023,2025-01-17_14-48-55,1.1919264793395996,12.81567645072937,119860,DESKTOP-KFJMPPQ,192.168.0.114,12.81567645072937,10
0.17135982,1737121737,checkpoint_000010,True,False,11,1f371_00023,2025-01-17_14-48-57,1.1454479694366455,13.961124420166016,119860,DESKTOP-KFJMPPQ,192.168.0.114,13.961124420166016,11
0.17116126,1737121738,checkpoint_000011,True,False,12,1f371_00023,2025-01-17_14-48-58,1.198291540145874,15.15941596031189,119860,DESKTOP-KFJMPPQ,192.168.0.114,15.15941596031189,12
0.17095347,1737121739,checkpoint_000012,True,False,13,1f371_00023,2025-01-17_14-48-59,1.1410932540893555,16.300509214401245,119860,DESKTOP-KFJMPPQ,192.168.0.114,16.300509214401245,13
0.17073658,1737121740,checkpoint_000013,True,False,14,1f371_00023,2025-01-17_14-49-00,1.199981689453125,17.50049090385437,119860,DESKTOP-KFJMPPQ,192.168.0.114,17.50049090385437,14
0.17050973,1737121741,checkpoint_000014,True,False,15,1f371_00023,2025-01-17_14-49-01,1.253969669342041,18.75446057319641,119860,DESKTOP-KFJMPPQ,192.168.0.114,18.75446057319641,15
0.17027347,1737121743,checkpoint_000015,True,False,16,1f371_00023,2025-01-17_14-49-03,1.2114591598510742,19.965919733047485,119860,DESKTOP-KFJMPPQ,192.168.0.114,19.965919733047485,16
